Surname,First name,Email address,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00,Q. 17 /1.00,Q. 18 /1.00,Q. 19 /1.00,Q. 20 /1.00
CN,cn308a,308a@localhost.com,Finished,19/05/2023 11:04,19/05/2023 11:04,42 secs,5,0,0,1,0,0,0,1,-,1,0,0,1,0,0,0,0,1,0,0,0
CN,cn307a,307a@localhost.com,Finished,19/05/2023 13:25,19/05/2023 13:26,1 min,6,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
CN,cn309a,309a@localhost.com,Finished,19/05/2023 14:07,19/05/2023 14:21,14 mins 33 secs,10,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0
CN,cn310a,310a@localhost.com,Finished,21/05/2023 12:56,21/05/2023 13:05,8 mins 46 secs,16,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
CN,cn209a,209a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:45,10 mins 21 secs,7,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
CN,cn211a,211a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:45,10 mins 29 secs,10,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0
CN,cn203a,203a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:45,10 mins 9 secs,13,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1
CN,cn220a,220a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:48,12 mins 32 secs,11,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1
CN,cn219a,219a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:50,14 mins 38 secs,13,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
CN,cn217a,217a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:46,10 mins 46 secs,7,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
